FID	IID	UHML	FS	Enlongation	UI
S001	S001	26.9830606135074	28.1481508623528	6.60501408734363	84.3868782232295
S002	S002	28.7917119774931	31.9319444207416	6.48335875406562	85.460554317702
S003	S003	32.0861111357356	39.7779948291296	6.88942094930859	86.5586321415943
S004	S004	30.5347147292482	33.5171312536103	6.7756582045226	86.6074356004339
S005	S005	29.6370836720461	28.9768201341016	6.74721751832611	85.7289733413201
S006	S006	31.1339067545083	36.030987786081	6.8040988907191	87.3394874830288
S007	S007	28.0636282374778	29.0367815287044	6.56284718033698	84.9725197293054
S008	S008	27.8883444253433	35.3759997564968	6.74721751832611	85.9729906355184
S009	S009	29.4157422955679	28.6924210312961	6.60501408734363	86.6806407886934
S011	S011	32.4608492640301	38.2136382587487	6.88279317513932	85.9765482671524
S012	S012	29.8135898500297	34.79174211749	6.74721751832611	86.7538459769529
S013	S013	29.0319685230394	27.9758909402396	6.54813271495064	85.0213231881451
S014	S014	29.5023815888481	32.9928350092064	6.67927435646678	86.4122217650753
S015	S015	30.0203532594083	30.4190170821328	6.66189545973662	86.168204470877
S016	S016	30.0659375300169	33.7554477283393	6.8040988907191	85.6313664236408
S017	S017	29.2155632937918	27.5115560904386	6.46281065636116	84.7773058939468
S018	S018	26.2939215582212	24.3058172294125	6.29448497248121	82.2395260342846
S020	S020	27.3858644904587	31.598301356121	6.57657340114714	85.0457249175649
S021	S021	30.9852699730484	35.6619795261716	6.74721751832611	86.314614847396
S022	S022	29.2666731442552	31.8965792254529	6.69033614593312	85.9241871766787
S023	S023	29.553475482475	31.5629361608322	6.86098026311209	86.3390165768158
S024	S024	30.2838901605346	33.8861395135197	6.71877683212962	86.1194010120373
S025	S025	27.5561687316079	29.3227612983793	6.66189545973662	85.4117508588623
S026	S026	28.9415142279751	29.0060901713773	6.60501408734363	84.7285024351071
S028	S028	28.2834510824054	31.9135511630715	6.63345477354013	84.8993145410459
S029	S029	30.1642597362019	31.7889545359042	6.77565820452261	86.168204470877
S030	S030	31.0084944701515	35.2976451042238	6.74721751832611	86.5098286827546
S031	S031	29.531416454394	32.2264838065883	6.80471168535213	85.8689015764554
S032	S032	29.396712191145	36.6029473254307	6.71877683212962	86.2414096591365
S033	S033	28.0299484725113	29.1321081185961	6.56284718033698	86.1438027414572
S034	S034	26.9941359017128	27.7498725651677	6.56284718033698	83.2643986699174
S035	S035	28.3500564478856	31.2769563911574	6.71877683212962	85.4849560471218
S036	S036	27.3610829559418	31.3246196861032	6.54813271495064	83.5328176935355
S037	S037	27.4493360449336	26.5106268965767	6.46281065636116	83.898843634833
S038	S038	28.9939083141936	27.239894678455	6.63345477354013	85.2653404823434
S039	S039	29.1969836961093	30.5020455723674	6.71877683212962	86.0461958237779
S040	S040	28.7148001159911	27.5945845806732	6.53295025129529	85.5825629648011
S041	S041	28.5594670064621	31.293928328776	6.74721751832611	85.7777768001598
S042	S042	30.2479533310187	37.508549929401	6.77141553010937	86.3390165768158
S043	S043	28.4584446882306	31.2462650338302	6.69033614593312	85.2897422117632
